date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:39	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333f1f802000-gzip%22	https://directorist.com/theme/demo/direo/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://directorist.com/theme/demo/direo/)
18:24:39	34385/34385	---M-Z	200	added ('OK')	application/javascript	etag:%228651-595aa4dff1b66-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/js/markerclusterer.js?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/directorist/public/assets/js/markerclusterer4d2c.js	(from https://directorist.com/theme/demo/direo/)
18:24:39	20460/20460	---M-Z	200	added ('OK')	application/javascript	etag:%224fec-5962004247c89-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/js/bootstrap/popper.js	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/js/bootstrap/popper.js	(from https://directorist.com/theme/demo/direo/)
18:24:39	58078/58078	---M-Z	200	added ('OK')	application/javascript	etag:%22e2de-5962004247c89-gzip%22	https://directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/js/bootstrap/bootstrap.min.js	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/themes/direo/vendor_assets/js/bootstrap/bootstrap.min.js	(from https://directorist.com/theme/demo/direo/)
18:24:40	5523/5523	---M-Z	200	added ('OK')	application/javascript	etag:%221593-5962005143b9d-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/claim-listing/assets//js/main.js?ver=1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/claim-listing/assets/js/main68b3.js	(from https://directorist.com/theme/demo/direo/)
18:24:40	4936/4936	---M-Z	200	added ('OK')	application/javascript	etag:%221348-5962005139f5d-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/faqs//assets/js/main.js?ver=1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/faqs/assets/js/main68b3.js	(from https://directorist.com/theme/demo/direo/)
18:24:40	5066/5066	---M-Z	200	added ('OK')	application/javascript	etag:%2213ca-5962005144755-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/plans/assets//js/plan-validator.js?ver=1	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/plans/assets/js/plan-validator68b3.js	(from https://directorist.com/theme/demo/direo/)
18:24:40	25953/25953	---M-Z	200	added ('OK')	application/javascript	etag:%226561-5962005142815-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map//public/assets/js/main.js?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map/public/assets/js/main4d2c.js	(from https://directorist.com/theme/demo/direo/)
18:24:40	15969/15969	---M-Z	200	added ('OK')	application/javascript	etag:%223e61-5962005142815-gzip%22	https://directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map//public/assets/js/view-as.js?ver=5.2.4	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/plugins/direo-extension/includes/directorist-listings-map/public/assets/js/view-as4d2c.js	(from https://directorist.com/theme/demo/direo/)
18:24:41	906/906	---MC-	200	added ('OK')	text/xml	date:Fri,%2001%20Nov%202019%2017:24:38%20GMT	https://directorist.com/theme/demo/direo/xmlrpc.php?rsd	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/xmlrpc0db0.php	(from https://directorist.com/theme/demo/direo/)
